model_card_id,model_card
1,Can be found at appendix of paper at https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/
2,https://ai.google/static/documents/palm2techreport.pdf
3,https://arxiv.org/pdf/2112.11446.pdf#appendix.B
4,https://arxiv.org/pdf/2203.15556.pdf
5,https://arxiv.org/pdf/2204.02311.pdf#appendix.E
6,https://arxiv.org/pdf/2204.14198.pdf#appendix.E
7,https://arxiv.org/pdf/2205.01068.pdf
8,https://arxiv.org/pdf/2210.11416.pdf
9,https://arxiv.org/pdf/2304.02643.pdf#page=28
10,https://cloud.google.com/static/vertex-ai/docs/generative-ai/medlm/MedLM-model-card.pdf
11,https://deci.ai/model-zoo/decilm-7b/
12,https://docs.cohere.ai/generation-card
13,https://docs.cohere.ai/representation-card
14,https://github.com/Luodian/Otter/blob/main/docs/model_card.md
15,https://github.com/facebookresearch/audiocraft/blob/main/model_cards/AUDIOGEN_MODEL_CARD.md
16,https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md
17,https://github.com/meta-llama/llama3/blob/main/MODEL_CARD.md
18,https://github.com/mlfoundations/open_flamingo/blob/main/MODEL_CARD.md
19,https://github.com/openai/CLIP/blob/main/model-card.md
20,https://github.com/openai/DALL-E/blob/master/model_card.md
21,https://github.com/openai/dalle-2-preview/blob/main/system-card.md
22,https://github.com/openai/following-instructions-human-feedback/blob/main/model-card.md
23,https://github.com/openai/gpt-2/blob/master/model_card.md
24,https://github.com/openai/gpt-3/blob/master/model-card.md
25,https://github.com/openai/whisper/blob/main/model-card.md
26,https://github.com/suno-ai/bark/blob/main/model-card.md
27,https://huggingface.co/01-ai/Yi-34B
28,https://huggingface.co/01-ai/Yi-VL-34B
29,https://huggingface.co/BAAI/EVA-CLIP-8B-448
30,https://huggingface.co/BAAI/JudgeLM-13B-v1.0
31,https://huggingface.co/BAAI/bge-m3
32,https://huggingface.co/BioMistral/BioMistral-7B
33,https://huggingface.co/ByteDance/SDXL-Lightning
34,https://huggingface.co/CausalLM/14B
35,https://huggingface.co/Cohere/Cohere-embed-english-v3.0
36,https://huggingface.co/CohereForAI/aya-101
37,https://huggingface.co/CohereForAI/aya-23-35B
38,https://huggingface.co/CohereForAI/c4ai-command-r-v01
39,https://huggingface.co/DeepFloyd/IF-I-XL-v1.0
40,https://huggingface.co/EleutherAI/llemma_34b
41,https://huggingface.co/EleutherAI/pythia-12b
42,https://huggingface.co/FuseAI/FuseChat-7B-VaRM
43,https://huggingface.co/GeneZC/MiniMA-3B
44,https://huggingface.co/GreenBitAI/LLaMA-30B-2bit-groupsize8
45,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
46,https://huggingface.co/HuggingFaceM4/idefics-80b-instruct
47,https://huggingface.co/HuggingFaceM4/idefics2-8b
48,https://huggingface.co/IDEA-CCNL/Taiyi-Stable-Diffusion-XL-3.5B
49,https://huggingface.co/James-WYang/BigTrans
50,https://huggingface.co/KT-AI/midm-bitext-S-7B-inst-v1
51,https://huggingface.co/LLM360/Amber
52,https://huggingface.co/LLM360/CrystalCoder
53,https://huggingface.co/LLM360/K2
54,https://huggingface.co/MSIIP/SALMONN
55,https://huggingface.co/MayaPH/GodziLLa2-70B
56,https://huggingface.co/NinedayWang/PolyCoder-2.7B
57,https://huggingface.co/NousResearch/Genstruct-7B
58,https://huggingface.co/NousResearch/Hermes-2-Pro-Mistral-7B
59,https://huggingface.co/NousResearch/Nous-Capybara-34B
60,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO
61,https://huggingface.co/NousResearch/Yarn-Llama-2-70b-32k
62,https://huggingface.co/NousResearch/Yarn-Mistral-7b-128k
63,https://huggingface.co/NucleusAI/nucleus-22B-token-500B
64,https://huggingface.co/Open-Orca/LlongOrca-7B-16k
65,https://huggingface.co/OpenAssistant/llama2-70b-oasst-sft-v10
66,https://huggingface.co/OpenBA/OpenBA-LM
67,https://huggingface.co/OpenLemur/lemur-70b-chat-v1
68,https://huggingface.co/OpenLemur/lemur-70b-v1
69,https://huggingface.co/OrionStarAI/Orion-14B-Base
70,https://huggingface.co/OrionZheng/openmoe-base
71,https://huggingface.co/Qwen
72,https://huggingface.co/Qwen/Qwen1.5-72B
73,https://huggingface.co/Qwen/Qwen1.5-MoE-A2.7B
74,https://huggingface.co/RWKV/rwkv-4-14b-pile
75,https://huggingface.co/RWKV/rwkv-4-world-7b
76,https://huggingface.co/RWKV/rwkv-5-world-3b
77,https://huggingface.co/Rakuten/RakutenAI-7B
78,https://huggingface.co/Salesforce/blip2-opt-2.7b
79,https://huggingface.co/Salesforce/moirai-1.0-R-large
80,https://huggingface.co/SciPhi/SciPhi-Mistral-7B-32k
81,https://huggingface.co/SeaLLMs/SeaLLM-7B-v2.5
82,https://huggingface.co/Skywork/Skywork-13B-base
83,https://huggingface.co/TheBloke/koala-7B-GPTQ-4bit-128g
84,https://huggingface.co/TigerResearch/tigerbot-180b-base-v2
85,https://huggingface.co/TurkuNLP/bloom-finnish-176b
86,https://huggingface.co/TurkuNLP/gpt3-finnish-13B
87,https://huggingface.co/VAGOsolutions/SauerkrautLM-7b-HerO
88,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0
89,https://huggingface.co/WizardLM/WizardLM-13B-1.0
90,https://huggingface.co/Writer/camel-5b-hf
91,https://huggingface.co/Writer/palmyra-base
92,https://huggingface.co/Xwin-LM/Xwin-LM-70B-V0.1
93,https://huggingface.co/adept/fuyu-8b
94,https://huggingface.co/ai21labs/Jamba-v0.1
95,https://huggingface.co/allenai/OLMo-7B
96,https://huggingface.co/allenai/codetulu-2-13b
97,https://huggingface.co/allenai/cosmo-xl
98,https://huggingface.co/allenai/tulu-2-70b
99,https://huggingface.co/allenai/tulu-2-dpo-70b
100,https://huggingface.co/amazon/FalconLite2
101,https://huggingface.co/amazon/chronos-t5-large
102,https://huggingface.co/apple/OpenELM-3B-Instruct
103,https://huggingface.co/argilla/notus-7b-v1
104,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha
105,https://huggingface.co/bigcode/santacoder
106,https://huggingface.co/bigcode/starcoder
107,https://huggingface.co/bigcode/starcoder2-15b
108,https://huggingface.co/bigcode/starcoder2-3b
109,https://huggingface.co/bigcode/starcoder2-7b
110,https://huggingface.co/bigscience/T0pp
111,https://huggingface.co/bigscience/bloomz
112,https://huggingface.co/cagliostrolab/animagine-xl-3.1
113,https://huggingface.co/cerebras/Cerebras-GPT-13B
114,https://huggingface.co/cerebras/btlm-3b-8k-base
115,https://huggingface.co/codellama/CodeLlama-34b-hf
116,https://huggingface.co/cognitivecomputations/WizardLM-30B-Uncensored
117,https://huggingface.co/cognitivecomputations/dolphin-2_2-yi-34b
118,https://huggingface.co/databricks/dbrx-base
119,https://huggingface.co/deepnight-research/saily_100b
120,https://huggingface.co/deepseek-ai/deepseek-coder-33b-base
121,https://huggingface.co/deepseek-ai/deepseek-llm-67b-base
122,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat
123,https://huggingface.co/epfl-llm/meditron-70b
124,https://huggingface.co/facebook/flava-full
125,https://huggingface.co/facebook/galactica-6.7b
126,https://huggingface.co/facebook/metaclip-b32-400m
127,https://huggingface.co/garage-bAInd/Platypus2-13B
128,https://huggingface.co/google/gemma-7b
129,https://huggingface.co/h2oai/h2o-danube-1.8b-base
130,https://huggingface.co/h2oai/h2ogpt-oasst1-512-20b
131,https://huggingface.co/ibm-nasa-geospatial/Prithvi-100M
132,https://huggingface.co/internlm/internlm-20b
133,https://huggingface.co/kotoba-tech/kotoba-speech-v0.1
134,https://huggingface.co/lmsys/vicuna-13b-delta-v0
135,https://huggingface.co/microsoft/Orca-2-13b
136,https://huggingface.co/microsoft/Phi-3-medium-128k-instruct
137,https://huggingface.co/microsoft/phi-1_5
138,https://huggingface.co/mistralai/Mistral-7B-v0.1
139,https://huggingface.co/moreh/MoMo-72B-lora-1.8.7-DPO
140,https://huggingface.co/openbmb/Eurus-70b-nca
141,https://huggingface.co/openbmb/MiniCPM-V
142,https://huggingface.co/openbmb/UltraLM-13b
143,https://huggingface.co/openbmb/cpm-bee-10b
144,https://huggingface.co/sambanovasystems/SambaLingo-Arabic-Base
145,https://huggingface.co/stabilityai/stable-cascade
146,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid-xt
147,https://huggingface.co/stabilityai/stablelm-2-1_6b
148,https://huggingface.co/stabilityai/sv3d
149,https://huggingface.co/t5-base
150,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B
151,https://huggingface.co/tiiuae/falcon-180B
152,https://huggingface.co/tiiuae/falcon-40b
153,https://huggingface.co/time-series-foundation-models/Lag-Llama
154,https://huggingface.co/togethercomputer/Llama-2-7B-32K-Instruct
155,https://huggingface.co/togethercomputer/StripedHyena-Hessian-7B
156,https://huggingface.co/togethercomputer/StripedHyena-Nous-7B
157,https://huggingface.co/vilm/vulture-180b
158,https://huggingface.co/wenge-research/yayi2-30b
159,https://huggingface.co/xverse/XVERSE-65B
160,https://huggingface.co/zjunlp/OceanGPT-7b
161,https://inceptioniai.org/jais/docs/Technicalpaper.pdf
162,https://mystic.the-eye.eu/public/AI/models/GPT-NeoX-20B/20B_model_card.md
163,https://openreview.net/pdf?id=1ikK0kHjvj#appendix.B
164,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf
165,https://www-files.anthropic.com/production/images/Model-Card-Claude-2.pdf
166,https://x.ai/model-card/
167,unknown
